Start |2021-11-20-17:26:39.2644872-05:00
868,868,2021-11-20-17:26:39.2682905-05:00
1834,1591912,2021-11-20-17:26:39.2686964-05:00
145,230827240,2021-11-20-17:26:39.2687272-05:00
1695,391252171800,2021-11-20-17:26:39.2687379-05:00
1014,396729702205200,2021-11-20-17:26:39.2687452-05:00
1513,6,002520394364676E+17,2021-11-20-17:26:39.2687508-05:00
1079,6,476719505519485E+20,2021-11-20-17:26:39.2687858-05:00
1286,8,329061284098057E+23,2021-11-20-17:26:39.2687970-05:00
1601,1,333482711584099E+27,2021-11-20-17:26:39.2688029-05:00
808,1,0774540309599519E+30,2021-11-20-17:26:39.2688107-05:00
1629,1,7551726164337615E+33,2021-11-20-17:26:39.2688162-05:00
208,3,650759042182224E+35,2021-11-20-17:26:39.2688190-05:00
1126,4,110754681497184E+38,2021-11-20-17:26:39.2688214-05:00
248,1,0194671610113017E+41,2021-11-20-17:26:39.2688346-05:00
1949,1,9869414968110272E+44,2021-11-20-17:26:39.2688383-05:00
1829,3,6341159976673688E+47,2021-11-20-17:26:39.2688410-05:00
160,5,81458559626779E+49,2021-11-20-17:26:39.2688435-05:00
1481,8,611401268072597E+52,2021-11-20-17:26:39.2688458-05:00
222,1,9117310815121167E+55,2021-11-20-17:26:39.2688499-05:00
1691,3,232737258836989E+58,2021-11-20-17:26:39.2688589-05:00
668,2,1594684889031088E+61,2021-11-20-17:26:39.2688658-05:00
1507,3,254319012776985E+64,2021-11-20-17:26:39.2688729-05:00
1525,4,962836494484902E+67,2021-11-20-17:26:39.2688836-05:00
1504,7,464106087705292E+70,2021-11-20-17:26:39.2688888-05:00
1724,1,2868118895203924E+74,2021-11-20-17:26:39.2688912-05:00
1088,1,400051335798187E+77,2021-11-20-17:26:39.2688936-05:00
41,5,740210476772567E+78,2021-11-20-17:26:39.2688958-05:00
1184,6,796409204498719E+81,2021-11-20-17:26:39.2688980-05:00
599,4,071049113494732E+84,2021-11-20-17:26:39.2689002-05:00
788,3,207986701433849E+87,2021-11-20-17:26:39.2689034-05:00
1901,6,098382719425747E+90,2021-11-20-17:26:39.2689058-05:00
1587,9,67813337572866E+93,2021-11-20-17:26:39.2689080-05:00
411,3,9777128174244793E+96,2021-11-20-17:26:39.2689106-05:00
1655,6,583114712837513E+99,2021-11-20-17:26:39.2689199-05:00
1109,7,300674216536802E+102,2021-11-20-17:26:39.2689232-05:00
355,2,591739346870565E+105,2021-11-20-17:26:39.2689256-05:00
900,2,3325654121835084E+108,2021-11-20-17:26:39.2689279-05:00
103,2,4025423745490136E+110,2021-11-20-17:26:39.2689303-05:00
1019,2,4481906796654447E+113,2021-11-20-17:26:39.2689326-05:00
937,2,2939546668465217E+116,2021-11-20-17:26:39.2689348-05:00
1900,4,3585138670083914E+119,2021-11-20-17:26:39.2689370-05:00
722,3,1468470119800586E+122,2021-11-20-17:26:39.2689392-05:00
935,2,9423019562013546E+125,2021-11-20-17:26:39.2689422-05:00
139,4,0897997191198828E+127,2021-11-20-17:26:39.2689446-05:00
1635,6,686822540761008E+130,2021-11-20-17:26:39.2689521-05:00
1243,8,311720418165933E+133,2021-11-20-17:26:39.2689549-05:00
50,4,155860209082966E+135,2021-11-20-17:26:39.2689573-05:00
1711,7,110676817740956E+138,2021-11-20-17:26:39.2689596-05:00
1347,9,578081673497067E+141,2021-11-20-17:26:39.2689618-05:00
1692,1,6206114191557037E+145,2021-11-20-17:26:39.2689640-05:00
794,1,286765466809629E+148,2021-11-20-17:26:39.2689662-05:00
160,2,0588247468954063E+150,2021-11-20-17:26:39.2689684-05:00
1868,3,845884627200619E+153,2021-11-20-17:26:39.2689706-05:00
1853,7,126424214202748E+156,2021-11-20-17:26:39.2689728-05:00
786,5,6013694323633594E+159,2021-11-20-17:26:39.2689750-05:00
1361,7,623463797446533E+162,2021-11-20-17:26:39.2689772-05:00
310,2,363273777208425E+165,2021-11-20-17:26:39.2689793-05:00
641,1,5148584911906005E+168,2021-11-20-17:26:39.2689814-05:00
1971,2,985786086136674E+171,2021-11-20-17:26:39.2689836-05:00
1926,5,7506240018992335E+174,2021-11-20-17:26:39.2689858-05:00
1473,8,470669154797571E+177,2021-11-20-17:26:39.2689880-05:00
1895,1,6051918048341398E+181,2021-11-20-17:26:39.2689901-05:00
687,1,102766769921054E+184,2021-11-20-17:26:39.2689923-05:00
814,8,97652150715738E+186,2021-11-20-17:26:39.2689945-05:00
906,8,132728485484586E+189,2021-11-20-17:26:39.2689967-05:00
43,3,497073248758372E+191,2021-11-20-17:26:39.2689989-05:00
1796,6,280743554770037E+194,2021-11-20-17:26:39.2690010-05:00
1471,9,238973769066724E+197,2021-11-20-17:26:39.2690032-05:00
1138,1,0513952149197932E+201,2021-11-20-17:26:39.2690053-05:00
1595,1,6769753677970703E+204,2021-11-20-17:26:39.2690075-05:00
929,1,5579101166834784E+207,2021-11-20-17:26:39.2690097-05:00
58,9,035878676764175E+208,2021-11-20-17:26:39.2690119-05:00
463,4,183611827341813E+211,2021-11-20-17:26:39.2690140-05:00
1284,5,371757586306887E+214,2021-11-20-17:26:39.2690211-05:00
1790,9,615446079489328E+217,2021-11-20-17:26:39.2690238-05:00
1946,1,8711658070686234E+221,2021-11-20-17:26:39.2690261-05:00
572,1,0703068416432525E+224,2021-11-20-17:26:39.2690284-05:00
1386,1,483445282517548E+227,2021-11-20-17:26:39.2690307-05:00
1869,2,772559233025297E+230,2021-11-20-17:26:39.2690329-05:00
481,1,3336009910851679E+233,2021-11-20-17:26:39.2690352-05:00
1038,1,3842778287464043E+236,2021-11-20-17:26:39.2690375-05:00
330,4,568116834863134E+238,2021-11-20-17:26:39.2690397-05:00
1836,8,387062508808714E+241,2021-11-20-17:26:39.2690420-05:00
906,7,598678632980694E+244,2021-11-20-17:26:39.2690514-05:00
1993,1,5144166515530523E+248,2021-11-20-17:26:39.2690546-05:00
1742,2,638113807005417E+251,2021-11-20-17:26:39.2690571-05:00
1718,4,5322795204353067E+254,2021-11-20-17:26:39.2690595-05:00
557,2,524479692882466E+257,2021-11-20-17:26:39.2690618-05:00
869,2,1937728531148628E+260,2021-11-20-17:26:39.2690642-05:00
1748,3,8347149472447803E+263,2021-11-20-17:26:39.2690665-05:00
46,1,763968875732599E+265,2021-11-20-17:26:39.2690689-05:00
260,4,5863190769047575E+267,2021-11-20-17:26:39.2690712-05:00
131,6,008077990745232E+269,2021-11-20-17:26:39.2690736-05:00
1092,6,560821165893793E+272,2021-11-20-17:26:39.2690759-05:00
1464,9,605042186868513E+275,2021-11-20-17:26:39.2690782-05:00
6,5,763025312121108E+276,2021-11-20-17:26:39.2690806-05:00
35,2,0170588592423877E+278,2021-11-20-17:26:39.2690830-05:00
121,2,440641219683289E+280,2021-11-20-17:26:39.2690853-05:00
1233,3,0093106238694952E+283,2021-11-20-17:26:39.2690876-05:00
1592,4,790822513200237E+286,2021-11-20-17:26:39.2690899-05:00
1447,6,932320176600742E+289,2021-11-20-17:26:39.2690922-05:00
579,4,0138133822518295E+292,2021-11-20-17:26:39.2690982-05:00
573,2,299915068030298E+295,2021-11-20-17:26:39.2691034-05:00
1752,4,0294511991890822E+298,2021-11-20-17:26:39.2691060-05:00
763,3,07447126498127E+301,2021-11-20-17:26:39.2691084-05:00
736,2,2628108510262147E+304,2021-11-20-17:26:39.2691107-05:00
1697,3,839990014191486E+307,2021-11-20-17:26:39.2691129-05:00
584,∞,2021-11-20-17:26:39.2691151-05:00
63,∞,2021-11-20-17:26:39.2691431-05:00
839,∞,2021-11-20-17:26:39.2691501-05:00
789,∞,2021-11-20-17:26:39.2691527-05:00
923,∞,2021-11-20-17:26:39.2691545-05:00
771,∞,2021-11-20-17:26:39.2691564-05:00
1490,∞,2021-11-20-17:26:39.2691639-05:00
888,∞,2021-11-20-17:26:39.2691665-05:00
1143,∞,2021-11-20-17:26:39.2691684-05:00
60,∞,2021-11-20-17:26:39.2691703-05:00
1780,∞,2021-11-20-17:26:39.2691720-05:00
821,∞,2021-11-20-17:26:39.2691737-05:00
1163,∞,2021-11-20-17:26:39.2691753-05:00
324,∞,2021-11-20-17:26:39.2691770-05:00
1239,∞,2021-11-20-17:26:39.2691786-05:00
602,∞,2021-11-20-17:26:39.2691803-05:00
1390,∞,2021-11-20-17:26:39.2691819-05:00
1549,∞,2021-11-20-17:26:39.2691835-05:00
669,∞,2021-11-20-17:26:39.2691851-05:00
