13,8,666666666666666,2021-11-20-00:48:14.0542298-05:00
6,6,2021-11-20-00:48:14.0720567-05:00
6,9,2021-11-20-00:48:14.0721172-05:00
12,27,2021-11-20-00:48:14.0721280-05:00
16,54,2021-11-20-00:48:14.0721324-05:00
10,50,625,2021-11-20-00:48:14.0721364-05:00
1,7,59375,2021-11-20-00:48:14.0721409-05:00
19,216,421875,2021-11-20-00:48:14.0721447-05:00
19,324,6328125,2021-11-20-00:48:14.0721485-05:00
5,128,14453125,2021-11-20-00:48:14.0721521-05:00
10,384,43359375,2021-11-20-00:48:14.0721559-05:00
17,980,3056640625,2021-11-20-00:48:14.0721596-05:00
1,86,49755859375,2021-11-20-00:48:14.0721634-05:00
2,259,49267578125,2021-11-20-00:48:14.0721670-05:00
9,1751,5755615234375,2021-11-20-00:48:14.0721706-05:00
12,3503,151123046875,2021-11-20-00:48:14.0721775-05:00
10,4378,938903808594,2021-11-20-00:48:14.0721815-05:00
13,8538,930862426758,2021-11-20-00:48:14.0721853-05:00
19,18719,96381378174,2021-11-20-00:48:14.0721910-05:00
14,20690,486320495605,2021-11-20-00:48:14.0721951-05:00
16,35469,40512084961,2021-11-20-00:48:14.0721993-05:00
7,23276,797110557556,2021-11-20-00:48:14.0722030-05:00
16,79806,16152191162,2021-11-20-00:48:14.0722067-05:00
6,44890,96585607529,2021-11-20-00:48:14.0722102-05:00
1,11222,741464018822,2021-11-20-00:48:14.0722150-05:00
14,235677,57074439526,2021-11-20-00:48:14.0722189-05:00
1,25251,16829404235,2021-11-20-00:48:14.0722226-05:00
12,454521,0292927623,2021-11-20-00:48:14.0722265-05:00
1,56815,128661595285,2021-11-20-00:48:14.0722478-05:00
10,852226,9299239293,2021-11-20-00:48:14.0722547-05:00
12,1534008,4738630727,2021-11-20-00:48:14.0722589-05:00
3,575253,1776986523,2021-11-20-00:48:14.0722627-05:00
15,4314398,8327398915,2021-11-20-00:48:14.0722664-05:00
18,7765917,898931805,2021-11-20-00:48:14.0722813-05:00
5,3235799,124554919,2021-11-20-00:48:14.0722866-05:00
16,15531835,79786361,2021-11-20-00:48:14.0722904-05:00
8,11648876,848397708,2021-11-20-00:48:14.0722941-05:00
