Start |2021-11-20-17:51:17.4314694-05:00
1122|748|2021-11-20-17:51:17.4355285-05:00
1835|1835|2021-11-20-17:51:17.4357565-05:00
204|306|2021-11-20-17:51:17.4357714-05:00
798|1795,5|2021-11-20-17:51:17.4357752-05:00
1845|6226,875|2021-11-20-17:51:17.4357777-05:00
353|1787,0625|2021-11-20-17:51:17.4357802-05:00
1449|11003,34375|2021-11-20-17:51:17.4357825-05:00
957|10900,828125|2021-11-20-17:51:17.4357849-05:00
1039|17752,2890625|2021-11-20-17:51:17.4357872-05:00
1071|27448,55859375|2021-11-20-17:51:17.4357893-05:00
75|2883,251953125|2021-11-20-17:51:17.4357915-05:00
346|19952,103515625|2021-11-20-17:51:17.4357937-05:00
773|66862,61279296875|2021-11-20-17:51:17.4357959-05:00
469|60851,032470703125|2021-11-20-17:51:17.4358061-05:00
1803|350898,9708251953|2021-11-20-17:51:17.4358094-05:00
1047|305649,93548583984|2021-11-20-17:51:17.4358118-05:00
1515|663409,243927002|2021-11-20-17:51:17.4358148-05:00
348|228580,6107788086|2021-11-20-17:51:17.4358170-05:00
1349|1329117,4307785034|2021-11-20-17:51:17.4358194-05:00
1313|1940472,0384864807|2021-11-20-17:51:17.4358216-05:00
1993|4418157,7753658295|2021-11-20-17:51:17.4358237-05:00
1654|5499974,631551743|2021-11-20-17:51:17.4358259-05:00
429|2139802,7058062553|2021-11-20-17:51:17.4358296-05:00
841|6292217,047493219|2021-11-20-17:51:17.4358318-05:00
1200|13467289,756822586|2021-11-20-17:51:17.4358348-05:00
230|3871845,8050864935|2021-11-20-17:51:17.4358371-05:00
1738|43886530,4950456|2021-11-20-17:51:17.4358393-05:00
1862|70526513,04526028|2021-11-20-17:51:17.4358414-05:00
1319|74939154,70464417|2021-11-20-17:51:17.4358434-05:00
617|52582401,57630643|2021-11-20-17:51:17.4358460-05:00
1331|170147106,5593125|2021-11-20-17:51:17.4358481-05:00
1393|267109225,51140752|2021-11-20-17:51:17.4358503-05:00
366|105271331,51885337|2021-11-20-17:51:17.4358526-05:00
1724|743802358,7643573|2021-11-20-17:51:17.4358547-05:00
1899|1228956507,5059583|2021-11-20-17:51:17.4358631-05:00
1154|1120233656,920913|2021-11-20-17:51:17.4358658-05:00
740|1077521108,476788|2021-11-20-17:51:17.4358681-05:00
978|2136112792,07493|2021-11-20-17:51:17.4358704-05:00
1046|3426953957,838001|2021-11-20-17:51:17.4358726-05:00
16|78629918,72668453|2021-11-20-17:51:17.4358748-05:00
158|1164705671,1390147|2021-11-20-17:51:17.4358770-05:00
1831|20245975479,641163|2021-11-20-17:51:17.4358791-05:00
1512|25078029703,89195|2021-11-20-17:51:17.4358813-05:00
1124|27963993439,65729|2021-11-20-17:51:17.4358834-05:00
1027|38326095990,9182|2021-11-20-17:51:17.4358855-05:00
1820|101879495672,06104|2021-11-20-17:51:17.4358876-05:00
899|75485988963,61226|2021-11-20-17:51:17.4358974-05:00
906|114110632927,19585|2021-11-20-17:51:17.4359006-05:00
1557|294156052098,74817|2021-11-20-17:51:17.4359030-05:00
690|195537260065,64188|2021-11-20-17:51:17.4359052-05:00
1615|686505815230,4601|2021-11-20-17:51:17.4359074-05:00
1435|914986852807,1611|2021-11-20-17:51:17.4359097-05:00
1362|1302660724937,3032|2021-11-20-17:51:17.4359118-05:00
973|1395912869343,608|2021-11-20-17:51:17.4359140-05:00
1399|3010609615948,162|2021-11-20-17:51:17.4359162-05:00
1467|4735415625370,93|2021-11-20-17:51:17.4359183-05:00
1406|6807765203754,117|2021-11-20-17:51:17.4359204-05:00
1363|9899342787393,523|2021-11-20-17:51:17.4359225-05:00
1598|17409189039898,953|2021-11-20-17:51:17.4359246-05:00
1615|26391589767931,926|2021-11-20-17:51:17.4359267-05:00
615|15075072173942,54|2021-11-20-17:51:17.4359288-05:00
1587|58351559853772,7|2021-11-20-17:51:17.4359308-05:00
1638|90340127637504,44|2021-11-20-17:51:17.4359329-05:00
423|34994390101341,004|2021-11-20-17:51:17.4359350-05:00
1740|215922832540189,16|2021-11-20-17:51:17.4359371-05:00
682|126947734303800,88|2021-11-20-17:51:17.4359393-05:00
1979|552557696892716,9|2021-11-20-17:51:17.4361046-05:00
1049|439337815088777,1|2021-11-20-17:51:17.4361107-05:00
569|357459318568418,75|2021-11-20-17:51:17.4361132-05:00
649|611575828868814,9|2021-11-20-17:51:17.4361156-05:00
307|433945561161924,9|2021-11-20-17:51:17.4361180-05:00
538|1140697289438675,5|2021-11-20-17:51:17.4361202-05:00
1301|4137677993196236,5|2021-11-20-17:51:17.4361282-05:00
1334|6363945937268001|2021-11-20-17:51:17.4361311-05:00
