Start |2021-11-20-18:11:41.6998398-05:00
368|19|2021-11-20-18:11:41.7052105-05:00
19|368|2021-11-20-18:11:41.7052939-05:00
909|909|2021-11-20-18:11:41.7053280-05:00
1865|789|2021-11-20-18:11:41.7053583-05:00
1288|909|2021-11-20-18:11:41.7053988-05:00
1292|909|2021-11-20-18:11:41.7054280-05:00
1085|806|2021-11-20-18:11:41.7054602-05:00
789|1052|2021-11-20-18:11:41.7055041-05:00
156|780|2021-11-20-18:11:41.7055416-05:00
1432|77|2021-11-20-18:11:41.7055728-05:00
467|995|2021-11-20-18:11:41.7056155-05:00
1052|995|2021-11-20-18:11:41.7056467-05:00
1136|995|2021-11-20-18:11:41.7056772-05:00
806|995|2021-11-20-18:11:41.7057067-05:00
1427|1052|2021-11-20-18:11:41.7057369-05:00
1079|1052|2021-11-20-18:11:41.7057677-05:00
995|358|2021-11-20-18:11:41.7057976-05:00
780|995|2021-11-20-18:11:41.7058451-05:00
1321|729|2021-11-20-18:11:41.7058739-05:00
77|1052|2021-11-20-18:11:41.7059049-05:00
655|254|2021-11-20-18:11:41.7059344-05:00
1100|995|2021-11-20-18:11:41.7059633-05:00
435|198|2021-11-20-18:11:41.7059955-05:00
1111|120|2021-11-20-18:11:41.7060240-05:00
728|996|2021-11-20-18:11:41.7060540-05:00
1966|647|2021-11-20-18:11:41.7060828-05:00
381|974|2021-11-20-18:11:41.7061152-05:00
1156|995|2021-11-20-18:11:41.7061445-05:00
1712|996|2021-11-20-18:11:41.7061734-05:00
1992|1052|2021-11-20-18:11:41.7062479-05:00
304|1052|2021-11-20-18:11:41.7062765-05:00
1895|163|2021-11-20-18:11:41.7063040-05:00
416|571|2021-11-20-18:11:41.7063323-05:00
358|774|2021-11-20-18:11:41.7063613-05:00
469|996|2021-11-20-18:11:41.7063914-05:00
1502|265|2021-11-20-18:11:41.7064199-05:00
1088|996|2021-11-20-18:11:41.7064496-05:00
729|400|2021-11-20-18:11:41.7064787-05:00
1834|996|2021-11-20-18:11:41.7065265-05:00
1504|531|2021-11-20-18:11:41.7065544-05:00
458|259|2021-11-20-18:11:41.7065797-05:00
254|15|2021-11-20-18:11:41.7066048-05:00
488|996|2021-11-20-18:11:41.7066308-05:00
1294|996|2021-11-20-18:11:41.7066565-05:00
1529|996|2021-11-20-18:11:41.7066860-05:00
198|1052|2021-11-20-18:11:41.7067142-05:00
996|513|2021-11-20-18:11:41.7067433-05:00
120|524|2021-11-20-18:11:41.7067729-05:00
1246|320|2021-11-20-18:11:41.7068084-05:00
1696|953|2021-11-20-18:11:41.7068439-05:00
884|218|2021-11-20-18:11:41.7068722-05:00
647|996|2021-11-20-18:11:41.7069028-05:00
1234|618|2021-11-20-18:11:41.7069395-05:00
974|1052|2021-11-20-18:11:41.7069583-05:00
84|1078|2021-11-20-18:11:41.7069765-05:00
1275|437|2021-11-20-18:11:41.7069945-05:00
1589|605|2021-11-20-18:11:41.7070126-05:00
1802|650|2021-11-20-18:11:41.7070310-05:00
1139|995|2021-11-20-18:11:41.7070546-05:00
1328|996|2021-11-20-18:11:41.7070837-05:00
907|1052|2021-11-20-18:11:41.7071283-05:00
1934|1052|2021-11-20-18:11:41.7071770-05:00
1078|709|2021-11-20-18:11:41.7072038-05:00
163|434|2021-11-20-18:11:41.7072309-05:00
1128|996|2021-11-20-18:11:41.7072741-05:00
571|288|2021-11-20-18:11:41.7073013-05:00
634|632|2021-11-20-18:11:41.7073270-05:00
774|754|2021-11-20-18:11:41.7073533-05:00
337|594|2021-11-20-18:11:41.7073778-05:00
1927|494|2021-11-20-18:11:41.7074049-05:00
1993|974|2021-11-20-18:11:41.7074309-05:00
265|595|2021-11-20-18:11:41.7074529-05:00
948|969|2021-11-20-18:11:41.7074713-05:00
1817|974|2021-11-20-18:11:41.7074896-05:00
1621|974|2021-11-20-18:11:41.7075076-05:00
400|110|2021-11-20-18:11:41.7075256-05:00
611|704|2021-11-20-18:11:41.7075441-05:00
1151|370|2021-11-20-18:11:41.7075724-05:00
1586|644|2021-11-20-18:11:41.7076021-05:00
531|974|2021-11-20-18:11:41.7076245-05:00
969|981|2021-11-20-18:11:41.7076429-05:00
259|257|2021-11-20-18:11:41.7076609-05:00
1908|369|2021-11-20-18:11:41.7076793-05:00
15|974|2021-11-20-18:11:41.7076974-05:00
1112|981|2021-11-20-18:11:41.7077156-05:00
1659|981|2021-11-20-18:11:41.7077337-05:00
665|567|2021-11-20-18:11:41.7077523-05:00
1447|667|2021-11-20-18:11:41.7077700-05:00
275|981|2021-11-20-18:11:41.7077885-05:00
1201|540|2021-11-20-18:11:41.7078072-05:00
1914|981|2021-11-20-18:11:41.7078256-05:00
1291|981|2021-11-20-18:11:41.7078439-05:00
1597|981|2021-11-20-18:11:41.7078625-05:00
513|283|2021-11-20-18:11:41.7078825-05:00
591|600|2021-11-20-18:11:41.7079011-05:00
524|992|2021-11-20-18:11:41.7079257-05:00
1181|995|2021-11-20-18:11:41.7079455-05:00
320|705|2021-11-20-18:11:41.7079796-05:00
164|995|2021-11-20-18:11:41.7079990-05:00
953|167|2021-11-20-18:11:41.7080179-05:00
1567|992|2021-11-20-18:11:41.7080362-05:00
218|563|2021-11-20-18:11:41.7080546-05:00
1781|995|2021-11-20-18:11:41.7080730-05:00
1323|716|2021-11-20-18:11:41.7080912-05:00
1704|390|2021-11-20-18:11:41.7081097-05:00
618|996|2021-11-20-18:11:41.7081277-05:00
1701|778|2021-11-20-18:11:41.7081456-05:00
1416|258|2021-11-20-18:11:41.7081636-05:00
1361|903|2021-11-20-18:11:41.7081814-05:00
1684|995|2021-11-20-18:11:41.7081993-05:00
660|996|2021-11-20-18:11:41.7082172-05:00
437|996|2021-11-20-18:11:41.7082353-05:00
215|323|2021-11-20-18:11:41.7082535-05:00
605|995|2021-11-20-18:11:41.7082714-05:00
350|825|2021-11-20-18:11:41.7082893-05:00
650|995|2021-11-20-18:11:41.7083071-05:00
26|439|2021-11-20-18:11:41.7083247-05:00
1064|154|2021-11-20-18:11:41.7083511-05:00
1054|992|2021-11-20-18:11:41.7083699-05:00
1473|995|2021-11-20-18:11:41.7083881-05:00
1906|317|2021-11-20-18:11:41.7084062-05:00
1197|996|2021-11-20-18:11:41.7084243-05:00
501|1002|2021-11-20-18:11:41.7084425-05:00
1148|526|2021-11-20-18:11:41.7084604-05:00
12|284|2021-11-20-18:11:41.7084783-05:00
709|160|2021-11-20-18:11:41.7084963-05:00
678|798|2021-11-20-18:11:41.7085143-05:00
434|854|2021-11-20-18:11:41.7085325-05:00
1233|308|2021-11-20-18:11:41.7085506-05:00
1097|996|2021-11-20-18:11:41.7085687-05:00
1230|996|2021-11-20-18:11:41.7085870-05:00
288|373|2021-11-20-18:11:41.7086050-05:00
981|995|2021-11-20-18:11:41.7086228-05:00
632|995|2021-11-20-18:11:41.7086408-05:00
966|995|2021-11-20-18:11:41.7086585-05:00
754|996|2021-11-20-18:11:41.7086805-05:00
481|126|2021-11-20-18:11:41.7087136-05:00
594|1002|2021-11-20-18:11:41.7087373-05:00
311|820|2021-11-20-18:11:41.7087650-05:00
494|1002|2021-11-20-18:11:41.7087841-05:00
1959|1002|2021-11-20-18:11:41.7088027-05:00
1261|1025|2021-11-20-18:11:41.7088217-05:00
87|1027|2021-11-20-18:11:41.7088405-05:00
595|983|2021-11-20-18:11:41.7088590-05:00
541|1033|2021-11-20-18:11:41.7088774-05:00
1486|28|2021-11-20-18:11:41.7088959-05:00
1071|56|2021-11-20-18:11:41.7089328-05:00
992|1027|2021-11-20-18:11:41.7089618-05:00
159|737|2021-11-20-18:11:41.7089806-05:00
1944|1027|2021-11-20-18:11:41.7089984-05:00
500|220|2021-11-20-18:11:41.7090163-05:00
110|764|2021-11-20-18:11:41.7090438-05:00
1280|430|2021-11-20-18:11:41.7090626-05:00
704|41|2021-11-20-18:11:41.7090808-05:00
1049|1002|2021-11-20-18:11:41.7090992-05:00
370|675|2021-11-20-18:11:41.7091178-05:00
1726|646|2021-11-20-18:11:41.7091365-05:00
644|995|2021-11-20-18:11:41.7091551-05:00
1318|956|2021-11-20-18:11:41.7091739-05:00
1002|995|2021-11-20-18:11:41.7091926-05:00
1946|995|2021-11-20-18:11:41.7092111-05:00
1274|583|2021-11-20-18:11:41.7092327-05:00
185|995|2021-11-20-18:11:41.7092646-05:00
257|996|2021-11-20-18:11:41.7092999-05:00
460|1002|2021-11-20-18:11:41.7093289-05:00
369|1025|2021-11-20-18:11:41.7093478-05:00
1468|362|2021-11-20-18:11:41.7093660-05:00
1598|292|2021-11-20-18:11:41.7093846-05:00
1645|733|2021-11-20-18:11:41.7094027-05:00
1610|691|2021-11-20-18:11:41.7094209-05:00
166|996|2021-11-20-18:11:41.7094390-05:00
1443|1002|2021-11-20-18:11:41.7094571-05:00
761|17|2021-11-20-18:11:41.7094754-05:00
567|1002|2021-11-20-18:11:41.7094935-05:00
1520|1025|2021-11-20-18:11:41.7095116-05:00
667|682|2021-11-20-18:11:41.7095299-05:00
1115|1016|2021-11-20-18:11:41.7095527-05:00
1907|134|2021-11-20-18:11:41.7095721-05:00
612|1016|2021-11-20-18:11:41.7095907-05:00
540|453|2021-11-20-18:11:41.7096157-05:00
1646|1002|2021-11-20-18:11:41.7096351-05:00
1690|1002|2021-11-20-18:11:41.7096537-05:00
272|1002|2021-11-20-18:11:41.7096725-05:00
1297|230|2021-11-20-18:11:41.7096910-05:00
602|661|2021-11-20-18:11:41.7097097-05:00
1122|996|2021-11-20-18:11:41.7097288-05:00
1025|582|2021-11-20-18:11:41.7097475-05:00
283|996|2021-11-20-18:11:41.7097671-05:00
1591|146|2021-11-20-18:11:41.7098000-05:00
600|507|2021-11-20-18:11:41.7098270-05:00
1033|463|2021-11-20-18:11:41.7098468-05:00
1844|209|2021-11-20-18:11:41.7098652-05:00
1305|744|2021-11-20-18:11:41.7098834-05:00
1333|992|2021-11-20-18:11:41.7099038-05:00
549|36|2021-11-20-18:11:41.7099222-05:00
705|992|2021-11-20-18:11:41.7099404-05:00
1068|926|2021-11-20-18:11:41.7099586-05:00
1829|992|2021-11-20-18:11:41.7099769-05:00
129|364|2021-11-20-18:11:41.7099955-05:00
167|992|2021-11-20-18:11:41.7100142-05:00
21|995|2021-11-20-18:11:41.7100330-05:00
1491|465|2021-11-20-18:11:41.7100519-05:00
1366|995|2021-11-20-18:11:41.7100704-05:00
563|895|2021-11-20-18:11:41.7100894-05:00
1780|699|2021-11-20-18:11:41.7101080-05:00
1069|93|2021-11-20-18:11:41.7101266-05:00
1374|989|2021-11-20-18:11:41.7101451-05:00
716|419|2021-11-20-18:11:41.7101636-05:00
1195|302|2021-11-20-18:11:41.7101819-05:00
390|992|2021-11-20-18:11:41.7102000-05:00
1273|856|2021-11-20-18:11:41.7102183-05:00
1814|441|2021-11-20-18:11:41.7102365-05:00
33|299|2021-11-20-18:11:41.7102547-05:00
778|683|2021-11-20-18:11:41.7102813-05:00
1375|983|2021-11-20-18:11:41.7103006-05:00
258|899|2021-11-20-18:11:41.7103261-05:00
989|221|2021-11-20-18:11:41.7103579-05:00
903|981|2021-11-20-18:11:41.7103806-05:00
1670|983|2021-11-20-18:11:41.7103994-05:00
1360|743|2021-11-20-18:11:41.7104177-05:00
1362|983|2021-11-20-18:11:41.7104360-05:00
1180|989|2021-11-20-18:11:41.7104543-05:00
4|992|2021-11-20-18:11:41.7104725-05:00
1041|773|2021-11-20-18:11:41.7104905-05:00
574|992|2021-11-20-18:11:41.7105085-05:00
323|255|2021-11-20-18:11:41.7105267-05:00
140|992|2021-11-20-18:11:41.7105449-05:00
1451|931|2021-11-20-18:11:41.7105631-05:00
18|181|2021-11-20-18:11:41.7105815-05:00
825|992|2021-11-20-18:11:41.7105998-05:00
1603|428|2021-11-20-18:11:41.7106179-05:00
1293|855|2021-11-20-18:11:41.7106358-05:00
1782|989|2021-11-20-18:11:41.7106542-05:00
439|992|2021-11-20-18:11:41.7106726-05:00
519|703|2021-11-20-18:11:41.7106908-05:00
154|992|2021-11-20-18:11:41.7107212-05:00
333|327|2021-11-20-18:11:41.7107404-05:00
1724|570|2021-11-20-18:11:41.7107586-05:00
1519|992|2021-11-20-18:11:41.7107769-05:00
1545|656|2021-11-20-18:11:41.7107952-05:00
1761|483|2021-11-20-18:11:41.7108134-05:00
317|992|2021-11-20-18:11:41.7108321-05:00
1105|973|2021-11-20-18:11:41.7108617-05:00
1203|961|2021-11-20-18:11:41.7108891-05:00
1347|992|2021-11-20-18:11:41.7109127-05:00
1226|992|2021-11-20-18:11:41.7109311-05:00
1819|993|2021-11-20-18:11:41.7109493-05:00
526|993|2021-11-20-18:11:41.7109670-05:00
1960|234|2021-11-20-18:11:41.7109853-05:00
284|993|2021-11-20-18:11:41.7110033-05:00
1714|993|2021-11-20-18:11:41.7110212-05:00
160|248|2021-11-20-18:11:41.7110390-05:00
168|639|2021-11-20-18:11:41.7110569-05:00
798|988|2021-11-20-18:11:41.7110747-05:00
831|992|2021-11-20-18:11:41.7110926-05:00
854|993|2021-11-20-18:11:41.7111107-05:00
1489|993|2021-11-20-18:11:41.7111287-05:00
308|993|2021-11-20-18:11:41.7111465-05:00
1989|735|2021-11-20-18:11:41.7111644-05:00
1464|478|2021-11-20-18:11:41.7111825-05:00
923|407|2021-11-20-18:11:41.7112049-05:00
1925|992|2021-11-20-18:11:41.7112349-05:00
697|920|2021-11-20-18:11:41.7112670-05:00
373|992|2021-11-20-18:11:41.7112899-05:00
810|839|2021-11-20-18:11:41.7113083-05:00
1985|992|2021-11-20-18:11:41.7113307-05:00
39|130|2021-11-20-18:11:41.7113736-05:00
1602|784|2021-11-20-18:11:41.7114030-05:00
246|989|2021-11-20-18:11:41.7114217-05:00
1211|800|2021-11-20-18:11:41.7114551-05:00
1928|596|2021-11-20-18:11:41.7114826-05:00
1284|978|2021-11-20-18:11:41.7115072-05:00
1408|739|2021-11-20-18:11:41.7115378-05:00
126|700|2021-11-20-18:11:41.7115601-05:00
1604|354|2021-11-20-18:11:41.7115782-05:00
1027|147|2021-11-20-18:11:41.7115962-05:00
72|974|2021-11-20-18:11:41.7116194-05:00
820|169|2021-11-20-18:11:41.7116503-05:00
1719|580|2021-11-20-18:11:41.7116730-05:00
1367|969|2021-11-20-18:11:41.7116913-05:00
515|973|2021-11-20-18:11:41.7117098-05:00
1630|916|2021-11-20-18:11:41.7117279-05:00
1488|973|2021-11-20-18:11:41.7117462-05:00
1740|777|2021-11-20-18:11:41.7117644-05:00
1114|973|2021-11-20-18:11:41.7117822-05:00
1438|974|2021-11-20-18:11:41.7118000-05:00
1118|657|2021-11-20-18:11:41.7118180-05:00
983|973|2021-11-20-18:11:41.7118359-05:00
1627|492|2021-11-20-18:11:41.7118539-05:00
1676|973|2021-11-20-18:11:41.7118716-05:00
687|847|2021-11-20-18:11:41.7118896-05:00
28|971|2021-11-20-18:11:41.7119134-05:00
1735|971|2021-11-20-18:11:41.7119322-05:00
56|90|2021-11-20-18:11:41.7119501-05:00
617|971|2021-11-20-18:11:41.7119682-05:00
1835|128|2021-11-20-18:11:41.7119861-05:00
1637|698|2021-11-20-18:11:41.7120038-05:00
737|971|2021-11-20-18:11:41.7120215-05:00
394|328|2021-11-20-18:11:41.7120393-05:00
1354|973|2021-11-20-18:11:41.7120569-05:00
1186|9|2021-11-20-18:11:41.7120746-05:00
220|973|2021-11-20-18:11:41.7120923-05:00
273|974|2021-11-20-18:11:41.7121177-05:00
764|165|2021-11-20-18:11:41.7121362-05:00
359|918|2021-11-20-18:11:41.7121538-05:00
430|973|2021-11-20-18:11:41.7121713-05:00
775|480|2021-11-20-18:11:41.7121887-05:00
41|282|2021-11-20-18:11:41.7122063-05:00
1202|973|2021-11-20-18:11:41.7122241-05:00
1798|111|2021-11-20-18:11:41.7122419-05:00
785|247|2021-11-20-18:11:41.7122597-05:00
675|971|2021-11-20-18:11:41.7122774-05:00
604|973|2021-11-20-18:11:41.7122949-05:00
646|974|2021-11-20-18:11:41.7123143-05:00
941|976|2021-11-20-18:11:41.7123330-05:00
1315|868|2021-11-20-18:11:41.7123506-05:00
449|976|2021-11-20-18:11:41.7123686-05:00
956|137|2021-11-20-18:11:41.7123862-05:00
1267|456|2021-11-20-18:11:41.7124040-05:00
1388|976|2021-11-20-18:11:41.7124218-05:00
876|547|2021-11-20-18:11:41.7124393-05:00
1046|512|2021-11-20-18:11:41.7124579-05:00
1976|431|2021-11-20-18:11:41.7124863-05:00
583|974|2021-11-20-18:11:41.7125135-05:00
523|974|2021-11-20-18:11:41.7125355-05:00
1902|335|2021-11-20-18:11:41.7125532-05:00
1559|976|2021-11-20-18:11:41.7125706-05:00
1356|125|2021-11-20-18:11:41.7125883-05:00
1532|263|2021-11-20-18:11:41.7126058-05:00
1770|55|2021-11-20-18:11:41.7126234-05:00
1411|562|2021-11-20-18:11:41.7126411-05:00
1355|973|2021-11-20-18:11:41.7126585-05:00
418|131|2021-11-20-18:11:41.7126757-05:00
362|476|2021-11-20-18:11:41.7126934-05:00
171|971|2021-11-20-18:11:41.7127105-05:00
292|529|2021-11-20-18:11:41.7127276-05:00
1359|971|2021-11-20-18:11:41.7127461-05:00
733|412|2021-11-20-18:11:41.7127635-05:00
1390|867|2021-11-20-18:11:41.7127809-05:00
691|870|2021-11-20-18:11:41.7127983-05:00
673|834|2021-11-20-18:11:41.7128152-05:00
1081|966|2021-11-20-18:11:41.7128321-05:00
1801|969|2021-11-20-18:11:41.7128490-05:00
1831|971|2021-11-20-18:11:41.7128658-05:00
894|973|2021-11-20-18:11:41.7128829-05:00
17|974|2021-11-20-18:11:41.7129018-05:00
1440|486|2021-11-20-18:11:41.7129192-05:00
1091|976|2021-11-20-18:11:41.7129360-05:00
1119|978|2021-11-20-18:11:41.7129858-05:00
1316|793|2021-11-20-18:11:41.7130082-05:00
1398|981|2021-11-20-18:11:41.7130250-05:00
682|982|2021-11-20-18:11:41.7130417-05:00
1482|982|2021-11-20-18:11:41.7130582-05:00
1016|290|2021-11-20-18:11:41.7130749-05:00
473|982|2021-11-20-18:11:41.7130915-05:00
134|983|2021-11-20-18:11:41.7131081-05:00
239|988|2021-11-20-18:11:41.7131245-05:00
1700|649|2021-11-20-18:11:41.7131411-05:00
231|988|2021-11-20-18:11:41.7131577-05:00
453|851|2021-11-20-18:11:41.7131745-05:00
881|812|2021-11-20-18:11:41.7131954-05:00
1437|297|2021-11-20-18:11:41.7132131-05:00
517|982|2021-11-20-18:11:41.7132302-05:00
1449|280|2021-11-20-18:11:41.7132471-05:00
395|982|2021-11-20-18:11:41.7132643-05:00
1448|983|2021-11-20-18:11:41.7132812-05:00
240|988|2021-11-20-18:11:41.7132981-05:00
230|989|2021-11-20-18:11:41.7133149-05:00
472|991|2021-11-20-18:11:41.7133320-05:00
661|992|2021-11-20-18:11:41.7133490-05:00
1957|805|2021-11-20-18:11:41.7133659-05:00
1737|992|2021-11-20-18:11:41.7133827-05:00
1594|993|2021-11-20-18:11:41.7133994-05:00
582|310|2021-11-20-18:11:41.7134216-05:00
722|994|2021-11-20-18:11:41.7134638-05:00
1803|994|2021-11-20-18:11:41.7134924-05:00
1255|958|2021-11-20-18:11:41.7135122-05:00
146|883|2021-11-20-18:11:41.7135363-05:00
1698|994|2021-11-20-18:11:41.7135636-05:00
507|436|2021-11-20-18:11:41.7135902-05:00
479|994|2021-11-20-18:11:41.7136180-05:00
463|994|2021-11-20-18:11:41.7136481-05:00
227|994|2021-11-20-18:11:41.7136661-05:00
209|291|2021-11-20-18:11:41.7136906-05:00
383|993|2021-11-20-18:11:41.7137226-05:00
744|835|2021-11-20-18:11:41.7137504-05:00
1880|319|2021-11-20-18:11:41.7137759-05:00
1414|236|2021-11-20-18:11:41.7138017-05:00
1891|992|2021-11-20-18:11:41.7138267-05:00
36|444|2021-11-20-18:11:41.7138533-05:00
53|217|2021-11-20-18:11:41.7138775-05:00
1666|814|2021-11-20-18:11:41.7139002-05:00
493|988|2021-11-20-18:11:41.7139277-05:00
926|79|2021-11-20-18:11:41.7139522-05:00
1810|277|2021-11-20-18:11:41.7139942-05:00
1247|983|2021-11-20-18:11:41.7140720-05:00
572|768|2021-11-20-18:11:41.7142243-05:00
364|983|2021-11-20-18:11:41.7142559-05:00
1446|332|2021-11-20-18:11:41.7142806-05:00
1480|553|2021-11-20-18:11:41.7143048-05:00
1778|848|2021-11-20-18:11:41.7143292-05:00
1196|982|2021-11-20-18:11:41.7143548-05:00
633|108|2021-11-20-18:11:41.7143801-05:00
465|983|2021-11-20-18:11:41.7144099-05:00
1364|983|2021-11-20-18:11:41.7144381-05:00
1668|988|2021-11-20-18:11:41.7144641-05:00
1094|765|2021-11-20-18:11:41.7145323-05:00
895|701|2021-11-20-18:11:41.7146303-05:00
312|988|2021-11-20-18:11:41.7146599-05:00
699|988|2021-11-20-18:11:41.7147405-05:00
891|690|2021-11-20-18:11:41.7147710-05:00
93|172|2021-11-20-18:11:41.7147961-05:00
3|988|2021-11-20-18:11:41.7148208-05:00
1742|988|2021-11-20-18:11:41.7148451-05:00
1977|989|2021-11-20-18:11:41.7148678-05:00
419|991|2021-11-20-18:11:41.7149231-05:00
1194|992|2021-11-20-18:11:41.7149498-05:00
302|993|2021-11-20-18:11:41.7149726-05:00
1053|993|2021-11-20-18:11:41.7149977-05:00
1678|538|2021-11-20-18:11:41.7150440-05:00
1565|994|2021-11-20-18:11:41.7150960-05:00
856|385|2021-11-20-18:11:41.7151229-05:00
344|975|2021-11-20-18:11:41.7151468-05:00
441|993|2021-11-20-18:11:41.7151700-05:00
615|245|2021-11-20-18:11:41.7152043-05:00
299|627|2021-11-20-18:11:41.7152286-05:00
1245|75|2021-11-20-18:11:41.7152520-05:00
683|202|2021-11-20-18:11:41.7152771-05:00
797|992|2021-11-20-18:11:41.7153209-05:00
1487|992|2021-11-20-18:11:41.7154002-05:00
1239|993|2021-11-20-18:11:41.7154303-05:00
899|902|2021-11-20-18:11:41.7154707-05:00
742|305|2021-11-20-18:11:41.7155044-05:00
221|994|2021-11-20-18:11:41.7155303-05:00
755|995|2021-11-20-18:11:41.7155518-05:00
1300|995|2021-11-20-18:11:41.7155710-05:00
1852|995|2021-11-20-18:11:41.7155952-05:00
1777|996|2021-11-20-18:11:41.7156194-05:00
872|45|2021-11-20-18:11:41.7156431-05:00
743|101|2021-11-20-18:11:41.7156664-05:00
1648|996|2021-11-20-18:11:41.7156900-05:00
993|996|2021-11-20-18:11:41.7157138-05:00
1096|996|2021-11-20-18:11:41.7157342-05:00
